ID del juego,Géneros,Categorías
461640,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing"
730,"Action, Free to Play","Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV"
578080,"Action, Adventure, Massively Multiplayer, Free to Play","Multi-player, PvP, Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet"
570,"Экшены, Стратегии, Бесплатно","Для нескольких игроков, Кооперативная игра, Коллекционные карточки, Мастерская Steam, Предметы для SteamVR, Покупки внутри приложения, Имеется античит Valve"
42690,,
235600,"Action, Adventure","Single-player, Multi-player, Co-op"
364470,Free to Play,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases"
386360,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free to Play","Multi-player, Steam Achievements, Full controller support, Steam Trading Cards"
444200,"Action, Massively Multiplayer, Free to Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases"
601510,"Strategy, Free to Play","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases"
386180,"Action, Massively Multiplayer, Racing, Free to Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Tablet, Remote Play on TV"
813820,"Action, Free to Play, Early Access","Multi-player, PvP, Online PvP, Partial Controller Support"
10,Action,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Family Sharing"
714010,"Action, Adventure, Casual, Indie, Simulation, Free to Play","Single-player, Steam Achievements, Full controller support, Steam Workshop, Stats, Steam Leaderboards"
1556200,Action,"Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Partial Controller Support, Family Sharing"
550,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing"
207610,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
239030,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Family Sharing"
251570,"Action, Adventure, Indie, RPG, Simulation, Strategy, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing"
271590,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV"
381210,Action,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing"
427820,Strategy,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
431730,"Animation & Modeling, Design & Illustration, Game Development",
431960,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Workshop, Includes level editor"
434170,"Casual, Indie, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing"
493490,"Indie, Racing, Simulation","Single-player, Steam Achievements, VR Supported, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing"
524660,"Animation & Modeling, Design & Illustration, Utilities, Video Production","Steam Achievements, Steam Workshop, Steam Cloud"
